Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
275,State of Palestine,2019,Population density,827.5,Including East Jerusalem.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
740,Suriname,2019,Population density,3.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
752,Sweden,2019,Population density,24.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
756,Switzerland,2019,Population density,217.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
760,Syrian Arab Republic,2019,Population density,93,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
762,Tajikistan,2019,Population density,66.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
764,Thailand,2019,Population density,136.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
626,Timor-Leste,2019,Population density,87,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
768,Togo,2019,Population density,148.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
772,Tokelau,2019,Population density,133,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
776,Tonga,2019,Population density,145.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
780,Trinidad and Tobago,2019,Population density,271.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
788,Tunisia,2019,Population density,75.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
792,Turkey,2019,Population density,108.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
795,Turkmenistan,2019,Population density,12.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
796,Turks and Caicos Islands,2019,Population density,40.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
798,Tuvalu,2019,Population density,388.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
800,Uganda,2019,Population density,221.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
804,Ukraine,2019,Population density,75.9,Including Crimea.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
784,United Arab Emirates,2019,Population density,116.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
826,United Kingdom,2019,Population density,279.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
834,United Rep. of Tanzania,2019,Population density,65.5,Including Zanzibar.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
840,United States of America,2019,Population density,36,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
850,United States Virgin Islands,2019,Population density,298.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
858,Uruguay,2019,Population density,19.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
860,Uzbekistan,2019,Population density,77.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
548,Vanuatu,2019,Population density,24.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
862,Venezuela (Boliv. Rep. of),2019,Population density,32.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
